Row_ID,Planting_Date,Harvesting_Date,Municipality,Season,Rice_Ecosystem,Hybrid_Seeds_Area_Harvested_(Ha),Hybrid_Seeds_Production_(MT),Hybrid_Seeds_Average_Yield_(MT/Ha),Certified_Seeds_Area_Harvested(Ha),Certified_Seeds_Production(MT),Certified_Seeds_Average_Yield(MT/Ha),Total_Area_Harvested(Ha),Total_Production(MT),TotalAverage_Yield(MT/Ha)
11,4/28/2006,10/29/2006,SanMateo,Dry,Irrigated,4124.5,23716.6377,5.7502,4124.5,18634.501,4.518,8249,42351.1387,5.1341
12,4/28/2006,10/29/2006,SanMateo,Wet,Irrigated,4124.5,29645.7971,7.1877,4124.5,23293.1263,5.6475,8249,52938.9234,6.4176
13,4/28/2007,10/29/2007,SanMateo,Dry,Irrigated,1390.6885,9248.997,6.6507,2246.5963,13518.0873,6.0171,3637.2847,56000,15.3961
14,4/28/2007,10/29/2007,SanMateo,Dry,Irrigated,4124.5,24746.3036,5.9998,4124.5,19443.5242,4.7142,8249,44189.8278,5.357
15,4/28/2007,10/29/2007,SanMateo,Wet,Irrigated,4124.5,28692.8795,6.9567,4124.5,22544.4053,5.466,8249,51237.2847,6.2113
16,4/29/2008,10/28/2008,SanMateo,Dry,Irrigated,3736.9321,25326.5139,6.7774,1661.796,11325.361,6.8151,5398.7282,57500,10.6507
17,4/29/2008,10/28/2008,SanMateo,Dry,Irrigated,4124.5,23455.7882,5.6869,4124.5,18429.5478,4.4683,8249,41885.336,5.0776
18,4/29/2008,10/28/2008,SanMateo,Wet,Irrigated,4124.5,29319.7352,7.1087,4124.5,23036.9348,5.5854,8249,52356.67,6.347
19,4/29/2009,10/28/2009,SanMateo,Dry,Irrigated,2760.61,18061.8375,6.5427,1127.1167,6197.5464,5.4986,3887.7267,59000,15.176
20,4/29/2009,10/28/2009,SanMateo,Dry,Irrigated,4124.5,27835.3012,6.7488,4124.5,21870.5938,5.3026,8249,49705.8951,6.0257
21,4/29/2009,10/28/2009,SanMateo,Wet,Irrigated,4124.5,23034.1265,5.5847,4124.5,18098.2423,4.388,8249,41132.3688,4.9863
22,4/29/2010,10/28/2010,SanMateo,Dry,Irrigated,1488.1529,11395.494,7.6575,1621.9646,9441.0764,5.8208,3110.1176,60500,19.4526
23,4/29/2010,10/28/2010,SanMateo,Dry,Irrigated,4124.5,29331.2905,7.1115,4124.5,23046.0139,5.5876,8249,52377.3044,6.3495
24,4/29/2010,10/28/2010,SanMateo,Wet,Irrigated,4124.5,26534.1563,6.4333,4124.5,20848.2657,5.0547,8249,47382.422,5.744
25,4/29/2011,10/28/2011,SanMateo,Wet,Irrigated,2980.7076,20011.0006,6.7135,1650.3666,10745.706,6.5111,4631.0743,62000,13.3878
26,4/29/2011,10/28/2011,SanMateo,Dry,Irrigated,4124.5,24671.1789,5.9816,4124.5,19384.4977,4.6998,8249,44055.6766,5.3407
27,4/29/2011,10/28/2011,SanMateo,Wet,Irrigated,4124.5,26468.7296,6.4174,4124.5,20796.859,5.0423,8249,47265.5886,5.7299
28,4/28/2012,10/27/2012,SanMateo,Wet,Irrigated,1137.5541,7464.4809,6.5619,2459.2124,13421.3883,5.4576,3596.7664,63500,17.6547
29,4/28/2012,10/27/2012,SanMateo,Dry,Irrigated,4124.5,24007.624,5.8207,4124.5,18863.1331,4.5734,8249,42870.7571,5.1971
30,4/28/2012,10/27/2012,SanMateo,Wet,Irrigated,4124.5,26301.7661,6.377,4124.5,20665.6734,5.0105,8249,46967.4395,5.6937
31,4/28/2013,10/27/2013,SanMateo,Dry,Irrigated,5371.67,27132.29,5.05,2877.33,19062.11,6.62,8249,46194.4,5.6
32,4/28/2013,10/27/2013,SanMateo,Wet,Irrigated,5454.16,32108.09,5.89,2794.84,22005.35,7.87,8249,54113.44,6.56
33,4/28/2014,10/27/2014,SanMateo,Dry,Irrigated,5371.67,30793.69,5.73,2877.33,21938.91,7.62,8249,52732.6,6.3926
34,4/28/2014,10/27/2014,SanMateo,Wet,Irrigated,5454.16,33659.73,6.17,2794.84,23175.88,8.29,8249,56835.61,6.89
35,4/28/2015,10/27/2015,SanMateo,Dry,Irrigated,5371.67,32873.35,6.12,2877.33,23572.93,8.19,8249,56446.28,6.8428
36,4/28/2015,10/27/2015,SanMateo,Wet,Irrigated,5454.16,35544.14,6.52,2794.84,24597.46,8.8,8249,60141.6,7.2908
37,4/27/2016,10/26/2016,SanMateo,Dry,Irrigated,5371.67,33586.2,6.25,2877.33,24133.03,8.39,8249,57719.23,6.9971
38,4/27/2016,10/26/2016,SanMateo,Wet,Irrigated,5454.16,35496.53,6.51,2794.84,24561.54,8.79,8249,60058.07,7.2806
39,4/27/2017,10/26/2017,SanMateo,Dry,Irrigated,7429.91,34989.5,6.44,923.09,25235.63,8.63,8353,60225.13,7.21
40,4/27/2017,10/26/2017,SanMateo,Wet,Irrigated,5513.44,31020.99,5.63,2839.56,21185.26,7.46,8353,52206.25,6.25
41,4/27/2018,10/26/2018,SanMateo,Dry,Irrigated,5429.91,33230.69,6.12,2923.09,23853.71,8.16,8353,57084.4,6.834
42,4/27/2018,10/26/2018,SanMateo,Wet,Irrigated,5513.44,24974.26,4.53,2839.56,16623.68,5.85,8353,41597.94,4.98
43,4/27/2019,10/26/2019,SanMateo,Dry,Irrigated,5429.91,41449.09,7.27,2923.09,26493.74,9.75,8353,67742.83,8.11
44,4/27/2019,10/26/2019,SanMateo,Wet,Irrigated,5513.44,32051.51,5.81,2839.56,21724.63,7.65,8353,53576.14,6.414
45,4/26/2020,10/25/2020,SanMateo,Dry,Irrigated,5429.91,36548.93,6.73,2923.09,26215.04,8.97,8353,62563.97,7.49
46,4/26/2020,10/25/2020,SanMateo,Wet,Irrigated,5513.44,22271.99,4.04,2839.56,14347.09,5.05,8353,36419.08,4.36
47,4/26/2021,10/25/2021,SanMateo,Dry,Irrigated,5429.91,30982.49,5.71,2923.09,21841.41,7.47,8353,52623.9,6.3
48,4/26/2021,10/25/2021,SanMateo,Wet,Irrigated,5513.44,30080.37,5.46,2839.56,20237.63,7.13,8353,50118,6
49,4/26/2022,10/25/2022,SanMateo,Dry,Irrigated,5429.91,30189.89,5.56,2923.09,21218.64,7.26,8353,51208.53,6.1306
50,4/26/2022,10/25/2022,SanMateo,Wet,Irrigated,5513.44,35124.67,6.37,2839.56,24042.98,8.47,8353,58967.65,7.0595
51,4/26/2023,10/25/2023,SanMateo,Dry,Irrigated,5429.91,35938.91,6.07,2923.09,20378.59,8,8353,56117.5,6.7182
52,4/26/2023,10/25/2023,SanMateo,Wet,Irrigated,5513.44,34114.31,6.19,2839.56,23280.78,8.2,8353,57195.09,6.8473
53,5/1/2024,10/28/2024,SanMateo,Wet,Irrigated,1667.48,8470.81,5.08,133.43,4102.96,30.75,1800.91,12373.77,6.87
