Row_ID,Planting_Date,Harvesting_Date,Municipality,Season,Rice_Ecosystem,Hybrid_Seeds_Area_Harvested_(Ha),Hybrid_Seeds_Average_Yield_(MT/Ha),Hybrid_Seeds_Production_(MT),Certified_Seeds_Area_Harvested(Ha),Certified_Seeds_Average_Yield(MT/Ha),Certified_Seeds_Production(MT),Total_Area_Harvested(Ha),TotalAverage_Yield(MT/Ha),Total_Production(MT)
16,7/1/2004,10/28/2004,Alicia,Dry,Rainfed,1463.476238,7.589310278,11106.77525,3493.192507,5.992694075,20933.63404,4956.668745,6.464101383,32040.40929
17,7/1/2005,7/28/2005,SanMateo,Wet,Irrigated,3675.365011,6.99776707,25719.34824,3365.191151,5.824165379,19599.42979,7040.556161,6.436817916,45318.77804
18,3/1/2005,1/28/2005,SanMateo,Wet,Rainfed,2531.707499,7.915136286,20038.80989,4395.655297,7.165188563,31495.69906,6927.362796,7.439268084,51534.50896
19,7/1/2005,7/28/2005,Alicia,Wet,Irrigated,1161.734358,7.131988669,8285.476279,1443.563283,6.318009506,9120.446545,2605.297641,6.680972856,17405.92282
20,3/1/2005,7/28/2005,Alicia,Wet,Rainfed,2901.480893,6.689826716,19410.40439,3782.064346,5.417994363,20491.20331,6683.545238,5.970126075,39901.6077
21,7/1/2005,11/28/2005,SanMateo,Dry,Irrigated,1812.244899,7.828560712,14187.26922,3395.461866,7.084354799,24054.65657,5207.706765,7.343333161,38241.92578
22,12/1/2005,2/28/2005,SanMateo,Dry,Rainfed,3497.416193,5.886901058,20588.94308,1421.977039,6.369603711,9057.430227,4919.393232,6.026428853,29646.37331
23,12/1/2005,12/28/2005,Alicia,Dry,Irrigated,2666.039791,7.649840777,20394.77991,2297.380084,5.366263864,12328.34773,4963.419876,6.592859048,32723.12764
24,9/1/2005,7/28/2005,Alicia,Dry,Rainfed,4627.313766,5.816396748,26914.29274,3590.760482,5.001561131,17959.40806,8218.074248,5.460366924,44873.7008
25,9/1/2006,3/28/2006,SanMateo,Wet,Irrigated,1027.808522,6.532241908,6713.893901,2669.644013,5.666323431,15127.06642,3697.452535,5.907029264,21840.96032
26,3/1/2006,10/28/2006,SanMateo,Wet,Rainfed,2350.460686,7.828729112,18401.12,2292.811728,6.556371865,15032.52631,4643.272414,7.20044902,33433.6463
27,9/1/2006,4/28/2006,Alicia,Wet,Irrigated,2454.51841,7.915346248,19428.36308,4849.78918,5.755346887,27912.21906,7304.307589,6.481186829,47340.58214
28,2/1/2006,3/28/2006,Alicia,Wet,Rainfed,2203.513239,5.854521483,12900.5156,1147.547789,6.828693002,7836.251559,3351.061029,6.188119816,20736.76716
29,2/1/2006,12/28/2006,SanMateo,Dry,Irrigated,1205.915005,5.835939393,7037.646882,4633.063544,5.718685672,26495.03411,5838.978549,5.742901897,33532.68099
30,2/1/2006,5/28/2006,SanMateo,Dry,Rainfed,2957.811041,7.956951362,23535.15859,1968.221086,7.016406642,13809.8395,4926.032127,7.581151956,37344.99809
31,11/1/2006,8/28/2006,Alicia,Dry,Irrigated,1950.550176,7.184649046,14014.01846,2471.132531,6.896917492,17043.19718,4421.682707,7.023845377,31057.21564
32,6/1/2006,6/28/2006,Alicia,Dry,Rainfed,3143.098736,5.27086931,16566.86267,4341.209982,5.962340195,25883.77077,7484.308719,5.67195115,42450.63344
33,6/1/2007,3/28/2007,SanMateo,Wet,Irrigated,3363.571773,7.032693086,23654.96795,1066.351316,6.536279175,6969.969898,4429.923088,6.913198544,30624.93785
34,3/1/2007,4/28/2007,SanMateo,Wet,Rainfed,3580.691162,5.523099287,19776.5128,3763.750952,6.160206039,23185.48135,7344.442114,5.849592587,42961.99415
35,2/1/2007,8/28/2007,Alicia,Wet,Irrigated,1550.083777,6.023199053,9336.463135,1453.894085,7.774080855,11302.69017,3003.977862,6.87060766,20639.15331
36,10/1/2007,3/28/2007,Alicia,Wet,Rainfed,1914.200087,5.524864781,10575.69665,4928.673373,6.549907674,32282.35555,6842.873461,6.26316597,42858.0522
37,1/1/2007,2/28/2007,SanMateo,Dry,Irrigated,4985.014799,7.896258054,39362.96326,3233.173814,7.64790903,24727.01921,8218.188613,7.798553365,64089.98247
38,7/1/2007,9/28/2007,SanMateo,Dry,Rainfed,2115.48541,7.10107349,15022.21737,4386.644569,7.568972876,33202.39376,6502.129979,7.416740557,48224.61112
39,6/1/2007,8/28/2007,Alicia,Dry,Irrigated,4551.080395,7.552785346,34373.33332,4742.539977,7.356021953,34886.22818,9293.620372,7.45237687,69259.5615
40,8/1/2007,4/28/2007,Alicia,Dry,Rainfed,3322.746486,6.1168483,20324.73619,4760.53377,7.92099151,37708.14758,8083.280256,7.179372969,58032.88377
41,2/1/2008,2/28/2008,SanMateo,Wet,Irrigated,2942.455014,6.345272429,18670.67868,4977.82985,5.527775758,27516.32717,7920.284865,5.831482912,46187.00585
42,4/1/2008,1/28/2008,SanMateo,Wet,Rainfed,2975.574861,5.536468128,16474.17538,2465.875138,7.232511569,17834.47047,5441.449999,6.305055794,34308.64584
43,3/1/2008,1/28/2008,Alicia,Wet,Irrigated,2232.243167,6.627620692,14794.46101,3035.256307,6.908997855,20970.57932,5267.499475,6.789756789,35765.04032
44,6/1/2008,6/28/2008,Alicia,Wet,Rainfed,4915.571433,6.460226459,31755.70463,4624.395151,6.303183097,29148.40935,9539.966584,6.384101395,60904.11398
45,5/1/2008,1/28/2008,SanMateo,Dry,Irrigated,3307.615539,6.477553081,21425.25522,1780.971951,7.167356346,12764.86062,5088.58749,6.71897966,34190.11584
46,3/1/2008,4/28/2008,SanMateo,Dry,Rainfed,1097.263866,6.936416888,7611.079609,1708.442718,7.821375753,13362.37245,2805.706583,7.475283474,20973.45206
47,5/1/2008,6/28/2008,Alicia,Dry,Irrigated,2480.634801,5.04636985,12518.20067,4713.27425,6.284552445,29620.81921,7193.909051,5.857596973,42139.01988
48,5/1/2008,3/28/2008,Alicia,Dry,Rainfed,4921.326335,5.226038768,25719.04222,2222.788077,5.572733093,12387.00468,7144.114412,5.333907703,38106.04689
49,1/1/2009,3/28/2009,SanMateo,Wet,Irrigated,1677.970987,6.670403787,11192.74403,4744.619097,7.08808939,33630.28428,6422.590083,6.978964518,44823.0283
50,8/1/2009,8/28/2009,SanMateo,Wet,Rainfed,1835.67487,7.01343055,12874.37822,2434.587125,5.762490947,14029.28627,4270.261996,6.300237436,26903.66449
51,10/1/2009,2/28/2009,Alicia,Wet,Irrigated,2290.203057,7.546009385,17281.89376,1546.485326,7.126732991,11021.38799,3836.688383,7.377008224,28303.28175
52,7/1/2009,10/28/2009,Alicia,Wet,Rainfed,4237.444622,7.430340184,31485.65505,4468.289274,7.739721658,34583.31527,8705.733896,7.589132761,66068.97032
53,10/1/2009,7/28/2009,SanMateo,Dry,Irrigated,3006.065179,7.394885537,22229.50791,3599.855723,7.105900632,25580.21706,6605.920902,7.237405001,47809.72497
54,12/1/2009,3/28/2009,SanMateo,Dry,Rainfed,2351.980627,6.126748858,14409.99462,1375.927759,6.734840423,9266.653893,3727.908387,6.351188404,23676.64852
55,6/1/2009,3/28/2009,Alicia,Dry,Irrigated,2862.392073,6.627933904,18971.74546,2146.165009,6.772499782,14534.90205,5008.557081,6.689880334,33506.64752
56,6/1/2009,1/28/2009,Alicia,Dry,Rainfed,1149.392755,7.467801682,8583.437149,2440.762566,5.381181538,13134.18646,3590.155321,6.049215609,21717.62361
57,1/1/2010,8/28/2010,SanMateo,Wet,Irrigated,4079.974212,5.647463082,23041.50374,3491.561903,5.256042395,18351.79739,7571.536116,5.466962119,41393.30113
58,4/1/2010,3/28/2010,SanMateo,Wet,Rainfed,3549.719606,7.178274001,25480.85996,4903.408318,6.548901045,32111.93586,8453.127924,6.813193452,57592.79582
59,3/1/2010,1/28/2010,Alicia,Wet,Irrigated,2595.283606,6.300562213,16351.74582,3976.170572,5.752581582,22873.2456,6571.454178,5.968997174,39224.99142
60,10/1/2010,5/28/2010,Alicia,Wet,Rainfed,1323.491866,6.284943425,8318.071504,3753.999603,5.174580787,19425.37422,5077.49147,5.464006368,27743.44572
61,10/1/2010,1/28/2010,SanMateo,Dry,Irrigated,2769.408919,5.719362077,15839.25235,1375.49316,5.548597991,7632.058586,4144.902079,5.66269371,23471.31093
62,5/1/2010,1/28/2010,SanMateo,Dry,Rainfed,4819.461123,7.21369075,34766.10212,3217.41621,6.835162239,21991.56179,8036.877333,7.062153814,56757.66391
63,7/1/2010,3/28/2010,Alicia,Dry,Irrigated,1990.923958,6.067918036,12080.76339,4031.384442,5.043180466,20330.99927,6022.3084,5.381949995,32411.76266
64,12/1/2010,5/28/2010,Alicia,Dry,Rainfed,1376.627953,5.934239928,8169.240565,4918.042114,5.52599081,27177.05553,6294.670068,5.615273829,35346.29609
65,10/1/2011,10/28/2011,SanMateo,Wet,Irrigated,2966.4635,6.420415312,19045.92768,1692.80748,6.301554948,10667.31935,4659.27098,6.377230935,29713.24703
66,7/1/2011,10/28/2011,SanMateo,Wet,Rainfed,3463.400392,6.905280953,23915.75276,1181.216039,6.123837844,7233.575482,4644.616431,6.706544814,31149.32824
67,10/1/2011,3/28/2011,Alicia,Wet,Irrigated,3012.545034,7.569469524,22803.36783,3634.774526,5.488803281,19950.56235,6647.319561,6.431754902,42753.93017
68,8/1/2011,7/28/2011,Alicia,Wet,Rainfed,4777.006389,7.601596801,36312.87648,3545.61439,7.402847884,26247.64398,8322.620778,7.516925513,62560.52046
69,12/1/2011,2/28/2011,SanMateo,Dry,Irrigated,3293.468167,5.38550106,17736.9763,4244.816707,7.461918427,31674.47601,7538.284874,6.554734019,49411.45231
70,12/1/2011,3/28/2011,SanMateo,Dry,Rainfed,4281.707375,6.954454316,29776.93833,1826.73744,5.821883382,10635.05234,6108.444815,6.615757677,40411.99067
71,12/1/2011,2/28/2011,Alicia,Dry,Irrigated,1155.852529,6.854761653,7923.093594,2346.21686,6.967167906,16346.4868,3502.069389,6.930068398,24269.5804
72,10/1/2011,10/28/2011,Alicia,Dry,Rainfed,1093.087743,7.443405448,8136.295261,2127.419099,5.354494483,11391.25383,3220.506842,6.063501817,19527.54909
73,5/1/2012,2/28/2012,SanMateo,Wet,Irrigated,3515.771387,7.632416041,26833.82993,3940.284175,7.410442791,29199.25046,7456.055562,7.515110359,56033.08039
74,9/1/2012,4/28/2012,SanMateo,Wet,Rainfed,1709.758175,7.251844255,12398.9,4227.338957,7.971515426,33698.29771,5937.097132,7.764265378,46097.19771
75,4/1/2012,2/28/2012,Alicia,Wet,Irrigated,2000.065797,6.741632037,13483.70765,4468.466429,6.685600076,29874.3795,6468.532226,6.702925121,43358.08715
76,12/1/2012,1/28/2012,Alicia,Wet,Rainfed,3719.37912,7.219726281,26852.89918,1952.94461,6.133186659,11977.77382,5672.323729,6.845637671,38830.673
77,1/1/2012,4/28/2012,SanMateo,Dry,Irrigated,4305.829864,5.960148803,25663.38671,4582.092914,6.167605036,28260.53933,8887.922778,6.067101098,53923.92605
78,12/1/2012,9/28/2012,SanMateo,Dry,Rainfed,4388.572576,6.064715571,26615.44444,4827.203541,7.030309713,33936.73594,9215.776117,6.570491688,60552.18038
79,4/1/2012,3/28/2012,Alicia,Dry,Irrigated,2972.102631,5.249853234,15603.10261,1366.816589,6.807322778,9304.361699,4338.91922,5.740476613,24907.46431
80,4/1/2012,11/28/2012,Alicia,Dry,Rainfed,1850.91158,7.838583629,14508.52521,4125.184202,5.340393806,22030.10816,5976.095782,6.114131149,36538.63337
81,5/1/2013,10/28/2013,SanMateo,Wet,Irrigated,4896.992834,7.987793726,39116.16864,1223.484619,7.21110667,8822.678095,6120.477453,7.832533834,47938.84673
82,11/1/2013,11/28/2013,SanMateo,Wet,Rainfed,1468.268066,5.428975046,7971.19069,4046.042527,6.85465419,27734.22236,5514.310593,6.475045692,35705.41305
83,6/1/2013,7/28/2013,Alicia,Wet,Irrigated,2704.3659,5.667729253,15327.61372,2586.606408,7.675690726,19853.99082,5290.972308,6.649364709,35181.60454
84,2/1/2013,5/28/2013,Alicia,Wet,Rainfed,3053.304675,5.699684217,17402.87247,3325.221669,7.589415566,25236.48909,6378.526344,6.684829577,42639.36156
85,6/1/2013,4/28/2013,SanMateo,Dry,Irrigated,1946.740775,7.723081119,15034.83692,3367.554955,6.05065474,20375.91235,5314.29573,6.663300477,35410.74927
86,12/1/2013,3/28/2013,SanMateo,Dry,Rainfed,4108.587664,6.675212749,27425.69675,2696.888037,7.719063155,20817.44908,6805.475701,7.088871955,48243.14583
87,7/1/2013,3/28/2013,Alicia,Dry,Irrigated,2014.728695,6.21560626,12522.76029,3285.892101,7.222921583,23733.74097,5300.620796,6.840048111,36256.50127
88,8/1/2013,9/28/2013,Alicia,Dry,Rainfed,3976.846628,7.043118281,28009.40119,1950.025885,6.200668679,12091.46443,5926.872513,6.765940304,40100.86561
89,12/1/2014,1/28/2014,SanMateo,Wet,Irrigated,1331.565287,6.585110364,8768.50437,2745.343326,7.406327747,20332.91245,4076.908613,7.138108696,29101.41682
90,5/1/2014,6/28/2014,SanMateo,Wet,Rainfed,4698.573321,7.757347146,36448.46434,2011.960672,7.086233369,14257.22285,6710.533993,7.556132976,50705.68719
91,9/1/2014,2/28/2014,Alicia,Wet,Irrigated,1664.861728,5.65042732,9407.180189,2177.975787,7.987494125,17396.56881,3842.837515,6.974988896,26803.749
92,6/1/2014,6/28/2014,Alicia,Wet,Rainfed,2536.807326,7.211302118,18293.68404,4661.017367,7.876107222,36710.67254,7197.824692,7.641802758,55004.35658
93,8/1/2014,6/28/2014,SanMateo,Dry,Irrigated,2822.627011,6.860397793,19364.34412,2109.524732,5.564363479,11738.16238,4932.151743,6.306072505,31102.5065
94,10/1/2014,8/28/2014,SanMateo,Dry,Rainfed,2413.408912,6.750968336,16292.84715,1310.938548,7.923184423,10386.80788,3724.34746,7.163578403,26679.65503
95,11/1/2014,6/28/2014,Alicia,Dry,Irrigated,1129.263804,5.839290522,6594.09943,2644.826883,6.808345646,18006.8956,3774.090688,6.518390007,24600.99503
96,3/1/2014,6/28/2014,Alicia,Dry,Rainfed,4799.199653,7.177158525,34444.6167,3453.660784,6.254729109,21601.71264,8252.860437,6.791139844,56046.32934
97,8/1/2015,2/28/2015,SanMateo,Wet,Irrigated,3206.35149,5.494502783,17617.30719,2645.020466,7.332806851,19395.4242,5851.371957,6.325479163,37012.73138
98,2/1/2015,1/28/2015,SanMateo,Wet,Rainfed,2506.95588,7.2487349,18172.25858,2571.957796,7.487492662,19257.51512,5078.913676,7.369641638,37429.7737
99,1/1/2015,1/28/2015,Alicia,Wet,Irrigated,2874.772639,6.244458507,17951.39846,2093.628288,5.16912649,10822.22944,4968.400927,5.791325686,28773.6279
100,6/1/2015,12/28/2015,Alicia,Wet,Rainfed,4251.604037,7.99915302,34009.23127,4986.547348,6.666295117,33241.79624,9238.151385,7.279706156,67251.02751
101,5/1/2015,5/28/2015,SanMateo,Dry,Irrigated,4779.06292,7.548942172,36076.86962,1989.392407,6.351632406,12635.88928,6768.455327,7.197027467,48712.7589
102,1/1/2015,3/28/2015,SanMateo,Dry,Rainfed,2098.927188,5.621682947,11799.50318,4512.88267,7.270997397,32813.15814,6611.809858,6.747420492,44612.66132
103,2/1/2015,12/28/2015,Alicia,Dry,Irrigated,2074.689928,5.066554226,10511.52902,2992.660747,6.42863209,19238.71491,5067.350675,5.870966081,29750.24393
104,3/1/2015,11/28/2015,Alicia,Dry,Rainfed,2231.108959,7.449157206,16619.88138,4871.895062,5.26522467,25651.62207,7103.004021,5.951214912,42271.50345
105,11/1/2016,9/28/2016,SanMateo,Wet,Irrigated,3359.823589,6.440137901,21637.72723,2682.143115,7.354004792,19724.49332,6041.966703,6.845820671,41362.22055
106,2/1/2016,11/28/2016,SanMateo,Wet,Rainfed,1851.856646,5.409114427,10016.9045,1058.178663,6.051762676,6403.846136,2910.035309,5.642801167,16420.75064
107,2/1/2016,2/28/2016,Alicia,Wet,Irrigated,2568.97618,6.312424766,16216.46886,4616.634778,6.044766401,27906.47879,7185.610958,6.140458746,44122.94766
108,6/1/2016,1/28/2016,Alicia,Wet,Rainfed,4134.612051,6.189628347,25591.71195,3488.346801,7.587091126,26466.40506,7622.958852,6.829122133,52058.11701
109,5/1/2016,4/28/2016,SanMateo,Dry,Irrigated,2837.387232,7.526274245,21354.95445,4075.670965,5.198707934,21188.22298,6913.058197,6.154031431,42543.17743
110,5/1/2016,2/28/2016,SanMateo,Dry,Rainfed,3483.222738,6.042240225,21046.46854,1836.523164,6.738949803,12376.23742,5319.745902,6.282763608,33422.70595
111,11/1/2016,3/28/2016,Alicia,Dry,Irrigated,3149.053667,6.380357477,20092.08811,3339.064424,6.200901467,20705.20948,6488.118091,6.288001701,40797.29759
112,8/1/2016,4/28/2016,Alicia,Dry,Rainfed,1727.520338,6.03700185,10429.04347,4587.15364,6.421884921,29458.17279,6314.673977,6.316591546,39887.21626
113,2/1/2017,10/28/2017,SanMateo,Wet,Irrigated,1895.396264,7.465371911,14149.83803,2380.330511,6.042857643,14383.99842,4275.726775,6.673447101,28533.83645
114,6/1/2017,5/28/2017,SanMateo,Wet,Rainfed,3194.861237,6.603270511,21096.53299,2423.965937,7.682651789,18622.48624,5618.827174,7.068916342,39719.01923
115,1/1/2017,10/28/2017,Alicia,Wet,Irrigated,3761.579315,5.11793642,19251.52377,4197.641596,6.883701168,28895.31036,7959.22091,6.04918932,48146.83413
116,8/1/2017,11/28/2017,Alicia,Wet,Rainfed,4683.489602,5.18323388,24275.62198,2107.510593,7.418603839,15634.78617,6791.000195,5.876955825,39910.40815
117,1/1/2017,3/28/2017,SanMateo,Dry,Irrigated,1738.084077,5.62804797,9782.020564,2481.888411,6.453568956,16017.038,4219.972489,6.113560843,25799.05857
118,10/1/2017,12/28/2017,SanMateo,Dry,Rainfed,2475.654558,6.387604148,15813.50133,3989.883753,5.110049609,20388.50391,6465.538311,5.59922523,36202.00523
119,8/1/2017,3/28/2017,Alicia,Dry,Irrigated,3853.398344,7.685620513,29615.75735,3046.709768,6.596340456,20097.1349,6900.108112,7.204654108,49712.89226
120,2/1/2017,10/28/2017,Alicia,Dry,Rainfed,2416.586683,6.191491498,14962.2759,1419.476666,7.212215618,10237.57178,3836.063349,6.569194872,25199.84768
121,12/1/2018,10/28/2018,SanMateo,Wet,Irrigated,3255.860368,7.522129958,24491.00481,1356.817315,6.606006692,8963.144262,4612.677683,7.252652662,33454.14907
122,9/1/2018,1/28/2018,SanMateo,Wet,Rainfed,2371.707457,6.421909824,15230.89142,2420.417213,6.946468521,16813.35198,4792.12467,6.686855122,32044.2434
123,2/1/2018,4/28/2018,Alicia,Wet,Irrigated,3148.426167,6.760523354,21285.00863,3981.757897,6.294978639,25065.0809,7130.184064,6.500546006,46350.08954
124,3/1/2018,10/28/2018,Alicia,Wet,Rainfed,2135.103623,6.089246889,13001.1731,3583.668965,6.712334914,24054.78632,5718.772589,6.479705013,37055.95941
125,8/1/2018,11/28/2018,SanMateo,Dry,Irrigated,4946.060995,6.817324458,33718.90259,1948.907167,5.305347418,10339.62961,6894.968162,6.389954408,44058.5322
126,6/1/2018,6/28/2018,SanMateo,Dry,Rainfed,1983.830914,5.48204412,10875.44859,1746.268096,5.855285506,10224.89827,3730.09901,5.656779301,21100.34687
127,8/1/2018,7/28/2018,Alicia,Dry,Irrigated,4369.256141,5.154906434,22523.10659,1072.969926,7.090884387,7608.305694,5442.226067,5.536596958,30131.41229
128,8/1/2018,6/28/2018,Alicia,Dry,Rainfed,2591.422396,7.9084113,20494.03416,4462.028504,7.451216213,33247.53913,7053.4509,7.619188685,53741.57329
129,1/1/2019,8/28/2019,SanMateo,Wet,Irrigated,3891.584386,7.462584419,29041.27701,3873.829083,6.605110196,25587.06798,7765.41347,7.034827598,54628.34499
130,10/1/2019,3/28/2019,SanMateo,Wet,Rainfed,4354.330235,5.61523268,24450.57744,4871.976266,7.132857437,34751.11214,9226.306501,6.416618565,59201.68958
131,4/1/2019,1/28/2019,Alicia,Wet,Irrigated,3944.988735,6.58952007,25995.58244,3828.920383,7.303338504,27963.90166,7773.909117,6.941100454,53959.4841
132,6/1/2019,5/28/2019,Alicia,Wet,Rainfed,3024.415825,7.796043027,23578.47591,2282.568769,6.781649293,15479.58088,5306.984594,7.35974565,39058.05678
133,6/1/2019,2/28/2019,SanMateo,Dry,Irrigated,2817.071889,6.645809354,18721.72271,3195.68792,5.605191387,17912.4424,6012.759808,6.092737159,36634.16511
134,8/1/2019,2/28/2019,SanMateo,Dry,Rainfed,1351.472445,5.41647432,7320.215793,1010.843598,5.350088192,5408.102396,2362.316043,5.388067456,12728.31819
135,8/1/2019,6/28/2019,Alicia,Dry,Irrigated,2647.363657,6.0466048,16007.56179,4718.116577,7.491858223,35347.46048,7365.480234,6.972392925,51355.02227
136,12/1/2019,2/28/2019,Alicia,Dry,Rainfed,1497.188894,7.192602426,10768.68447,4753.361827,5.543699198,26351.20815,6250.550721,5.938659532,37119.89262
137,3/1/2020,1/28/2020,SanMateo,Wet,Irrigated,3964.482597,6.72341934,26654.87897,4367.315107,5.41931713,23667.86557,8331.797704,6.039842339,50322.74454
138,9/1/2020,5/28/2020,SanMateo,Wet,Rainfed,1806.50928,5.490967829,9919.48434,1657.063192,7.443724161,12334.72132,3463.572472,6.425217268,22254.20566
139,11/1/2020,10/28/2020,Alicia,Wet,Irrigated,4631.464522,5.948589747,27550.68237,3353.226703,7.04894619,23636.71459,7984.691225,6.410692101,51187.39696
140,8/1/2020,7/28/2020,Alicia,Wet,Rainfed,3855.129819,7.699002336,29680.65348,3496.406177,6.619343186,23143.9124,7351.535996,7.185514145,52824.56589
141,1/1/2020,9/28/2020,SanMateo,Dry,Irrigated,2421.449807,6.174446331,14951.11188,3127.429919,5.199857337,16262.18941,5548.879726,5.625153694,31213.30129
142,8/1/2020,3/28/2020,SanMateo,Dry,Rainfed,3171.397242,6.294584429,19962.6277,2331.263144,7.19164741,16765.62255,5502.660386,6.674635117,36728.25025
143,10/1/2020,4/28/2020,Alicia,Dry,Irrigated,4176.100757,6.860218268,28648.9627,3133.844368,7.681677749,24073.18255,7309.945125,7.212385914,52722.14525
144,4/1/2020,6/28/2020,Alicia,Dry,Rainfed,4009.61248,7.120941384,28552.21544,4114.287756,5.429383957,22338.04794,8123.900236,6.264264934,50890.26338
145,4/1/2021,6/28/2021,SanMateo,Wet,Irrigated,3856.256329,6.481944461,24996.03935,4018.541167,5.308748092,21333.42276,7874.797496,5.883257586,46329.46211
146,4/1/2021,8/28/2021,SanMateo,Wet,Rainfed,3415.831488,6.506865042,22226.3545,3159.442548,6.459072446,20407.06831,6575.274037,6.48390053,42633.42281
147,4/1/2021,12/28/2021,Alicia,Wet,Irrigated,4087.527922,5.036609217,20587.28081,3393.770805,6.696525042,22726.47118,7481.298727,5.789603325,43313.75199
148,10/1/2021,11/28/2021,Alicia,Wet,Rainfed,3396.117459,7.480396483,25404.3051,4836.299178,6.027572772,29151.14524,8232.416637,6.626905895,54555.45034
149,6/1/2021,8/28/2021,SanMateo,Dry,Irrigated,2694.38745,5.863788849,15799.31908,3459.801053,7.735557227,26763.48903,6154.188502,6.916071567,42562.80812
150,8/1/2021,2/28/2021,SanMateo,Dry,Rainfed,3445.816942,5.054330551,17416.29784,4488.495636,7.796354847,34993.90471,7934.312578,6.605512707,52410.20255
151,4/1/2021,4/28/2021,Alicia,Dry,Irrigated,4160.338548,5.069067814,21089.03823,3605.468844,7.313740006,26369.46172,7765.807392,6.111212596,47458.49996
152,10/1/2021,9/28/2021,Alicia,Dry,Rainfed,2696.522685,7.209332707,19440.12919,4737.468059,7.776705539,36841.89409,7433.990744,7.570903061,56282.02328
153,7/1/2022,1/28/2022,SanMateo,Wet,Irrigated,1452.952183,7.954523597,11557.54243,4355.592346,5.373988044,23406.90119,5808.544529,6.019484475,34964.44362
154,9/1/2022,1/28/2022,SanMateo,Wet,Rainfed,4479.585448,6.556514171,29370.46547,3365.101743,6.197008112,20853.5628,7844.687191,6.402298402,50224.02827
155,9/1/2022,5/28/2022,Alicia,Wet,Irrigated,2340.788967,7.408560346,17341.87632,1018.528092,6.000497515,6111.675285,3359.317059,6.981642754,23453.5516
156,4/1/2022,9/28/2022,Alicia,Wet,Rainfed,4454.072562,7.768880695,34603.15835,2862.800489,6.442510934,18443.62345,7316.873052,7.249925129,53046.7818
157,11/1/2022,1/28/2022,SanMateo,Dry,Irrigated,3348.272897,5.098540011,17071.30333,4650.997852,5.744679328,26718.49121,7999.270748,5.474223329,43789.79454
158,9/1/2022,7/28/2022,SanMateo,Dry,Rainfed,1662.05327,5.101637481,8479.193256,2245.892685,7.341487123,16488.19222,3907.945954,6.38887686,24967.38548
