Planting_Date,Harvesting_Date,Municipality,Season,Rice_Ecosystem,Hybrid_Seeds_Area_Harvested_(Ha),Hybrid_Seeds_Production_(MT),Hybrid_Seeds_Average_Yield_(MT/Ha),Certified_Seeds_Area_Harvested(Ha),Certified_Seeds_Production(MT),Certified_Seeds_Average_Yield(MT/Ha),Farmer_Seeds_Area_Harvested_(Ha),Farmer_Seeds_Production_(MT),Farmer_Seeds_Average_Yield_(MT/Ha),Total_Area_Harvested(Ha),Total_Production(MT),TotalAverage_Yield(MT/Ha)
5/1/2007,10/27/2007,SanMateo,Dry,Irrigated,4856.84,25811.86,5.27,5219.84,17525.44,5.29,539.7,659.67,1.22,7615.1,16878.28,2.22
5/1/2007,10/27/2007,SanMateo,Dry,Rainfed,6056.31,45305.84,5.34,3738.27,24776.35,5.35,2429.04,3783.51,1.56,4401.21,23586.58,5.36
5/1/2007,10/27/2007,SanMateo,Wet,Irrigated,5616.94,21859.58,7.84,3055.51,27366.97,5.71,2007.38,4360.59,2.17,3790.39,46063.39,12.15
5/1/2007,10/27/2007,SanMateo,Wet,Rainfed,7323.98,44936.33,3.87,5409.68,16007.74,3.08,1424.09,3844.3,2.7,4869.38,19546.41,4.01
4/29/2008,10/28/2008,SanMateo,Dry,Irrigated,3736.93,25326.51,6.78,1661.8,11325.36,6.82,1295.41,2636.73,2.35,5398.73,57500,10.65
4/29/2008,10/28/2008,SanMateo,Dry,Irrigated,4124.5,23455.79,5.69,4124.5,18429.55,4.47,1295.41,2636.73,2.35,8249,41885.34,5.08
4/29/2008,10/28/2008,SanMateo,Wet,Irrigated,4124.5,29319.74,7.11,4124.5,23036.93,5.59,1295.41,2636.73,2.35,8249,52356.67,6.35
5/1/2008,10/27/2008,Alicia,Dry,Irrigated,4486.51,57016.12,5.13,5257.7,16551.02,4.76,530.34,572.19,1.08,3816.31,46006.95,12.06
5/1/2008,10/27/2008,Alicia,Dry,Rainfed,7930.26,58343.32,4.39,4428.31,38962.04,5,2272.52,6759.29,2.97,4529.05,21549.14,4.76
5/1/2008,10/27/2008,Alicia,Wet,Irrigated,5013.5,21477.33,3.1,3016.85,26100.34,5.36,2630.1,4197.28,1.6,6151.72,28830.42,4.69
5/1/2008,10/27/2008,Alicia,Wet,Rainfed,3325.25,34492.28,6.57,5941.14,32608.73,4.85,63.84,126.02,1.97,7927.88,26389.63,3.33
5/1/2008,10/27/2008,SanMateo,Dry,Irrigated,5279.37,35465.55,5.08,4513.4,25017.51,3.88,1272.44,2937.47,2.31,3061.83,31319.4,10.23
5/1/2008,10/27/2008,SanMateo,Dry,Rainfed,6764.52,30002.12,4.11,4649.8,38636.79,5.72,1479.92,4002.51,2.7,7173.55,10874.45,1.52
5/1/2008,10/27/2008,SanMateo,Wet,Irrigated,3546.93,47418.4,6.11,3895.19,36611.27,5.89,1731.03,4093.71,2.36,5344.13,54430.49,10.19
5/1/2008,10/27/2008,SanMateo,Wet,Rainfed,4654.15,27423.62,3.51,4891.2,22982.35,4.98,1419.73,2345.52,1.65,4887.86,20854.92,4.27
4/29/2009,10/28/2009,SanMateo,Dry,Irrigated,2760.61,18061.84,6.54,1127.12,6197.55,5.5,1295.41,2636.73,2.35,3887.73,59000,15.18
4/29/2009,10/28/2009,SanMateo,Dry,Irrigated,4124.5,27835.3,6.75,4124.5,21870.59,5.3,1295.41,2636.73,2.35,8249,49705.9,6.03
4/29/2009,10/28/2009,SanMateo,Wet,Irrigated,4124.5,23034.13,5.58,4124.5,18098.24,4.39,1295.41,2636.73,2.35,8249,41132.37,4.99
5/1/2009,10/27/2009,Alicia,Dry,Irrigated,5514.36,59872.94,4.86,3995.48,19404.12,5.18,628.26,1502.8,2.39,4095.73,17275.57,4.22
5/1/2009,10/27/2009,Alicia,Dry,Rainfed,6525.65,38075.9,3.93,5946.27,27840.44,3.19,2236.91,5603.67,2.51,5819.56,19864.38,3.41
5/1/2009,10/27/2009,Alicia,Wet,Irrigated,6592.48,33652.36,5.66,5942.67,34022.9,4.99,1425.76,2652.84,1.86,6998.56,26482.63,3.78
5/1/2009,10/27/2009,Alicia,Wet,Rainfed,4355.84,39984.97,5.99,3882.45,21078.96,5.1,1149.52,1506.05,1.31,7390.72,19587.63,2.65
5/1/2009,10/27/2009,SanMateo,Dry,Irrigated,4874.64,20337.35,6.52,3614.63,18869.68,3.1,1117.89,1357.99,1.21,7716.22,33119.89,4.29
5/1/2009,10/27/2009,SanMateo,Dry,Rainfed,7563.48,20543.41,5.23,4597.21,23462.27,5.91,1658.99,2651.94,1.6,6975.26,23202.73,3.33
5/1/2009,10/27/2009,SanMateo,Wet,Irrigated,3443.34,55042.71,4.83,5204.6,35915.04,5.54,1709.05,1780.54,1.04,3594.22,39197.04,10.91
5/1/2009,10/27/2009,SanMateo,Wet,Rainfed,3260.32,49543.26,6.58,4648.33,25592.11,4.88,1086.61,2332.18,2.15,7380.41,20549.12,2.78
4/29/2010,10/28/2010,SanMateo,Dry,Irrigated,1488.15,11395.49,7.66,1621.96,9441.08,5.82,1295.41,2636.73,2.35,3110.12,60500,19.45
4/29/2010,10/28/2010,SanMateo,Dry,Irrigated,4124.5,29331.29,7.11,4124.5,23046.01,5.59,1295.41,2636.73,2.35,8249,52377.3,6.35
4/29/2010,10/28/2010,SanMateo,Wet,Irrigated,4124.5,26534.16,6.43,4124.5,20848.27,5.05,1295.41,2636.73,2.35,8249,47382.42,5.74
5/1/2010,10/27/2010,Alicia,Dry,Irrigated,3709.07,42611.64,4.92,4522.48,21935.92,3.42,256.06,710.23,2.77,3543.95,39936.35,11.27
5/1/2010,10/27/2010,Alicia,Dry,Rainfed,4130.63,33395.89,7.99,4729.96,26316.65,3.06,194,533.22,2.75,3488.25,14595.16,4.18
5/1/2010,10/27/2010,Alicia,Wet,Irrigated,5646.85,21140.6,4.74,4483.9,19912.88,4.06,2933.33,5253.51,1.79,7399.06,30914.88,4.18
5/1/2010,10/27/2010,Alicia,Wet,Rainfed,5570.25,23045.37,5.83,3646.43,26492.93,4.18,975.4,1730.14,1.77,6977.01,28532.56,4.09
5/1/2010,10/27/2010,SanMateo,Dry,Irrigated,6502.85,54843.75,5.59,5559.46,26990.02,3.33,2095.66,5631.27,2.69,4131.06,45617,11.04
5/1/2010,10/27/2010,SanMateo,Dry,Rainfed,7952.47,51642.58,4.33,3598.65,28739.88,5.09,126.04,308.38,2.45,5242.32,12529.86,2.39
5/1/2010,10/27/2010,SanMateo,Wet,Irrigated,4929.45,49106.02,5.09,5912.24,34245.04,5.92,2977,5272.65,1.77,6361.92,59538.24,9.36
5/1/2010,10/27/2010,SanMateo,Wet,Rainfed,3753.4,57985.7,7.86,3913.5,35824.66,5.94,2817.47,4492.91,1.59,7164,28537.59,3.98
4/29/2011,10/28/2011,SanMateo,Wet,Irrigated,2980.71,20011,6.71,1650.37,10745.71,6.51,1295.41,2636.73,2.35,4631.07,62000,13.39
4/29/2011,10/28/2011,SanMateo,Dry,Irrigated,4124.5,24671.18,5.98,4124.5,19384.5,4.7,1295.41,2636.73,2.35,8249,44055.68,5.34
4/29/2011,10/28/2011,SanMateo,Wet,Irrigated,4124.5,26468.73,6.42,4124.5,20796.86,5.04,1295.41,2636.73,2.35,8249,47265.59,5.73
5/1/2011,10/27/2011,Alicia,Dry,Irrigated,6282.13,21151.97,3.06,4574.22,21909.47,3.98,2489.29,5112.47,2.05,5761.87,23502.08,4.08
5/1/2011,10/27/2011,Alicia,Dry,Rainfed,6365.49,31327.44,5.09,3901.7,28114.53,5.24,1893.01,2583.12,1.36,4769.84,12503.95,2.62
5/1/2011,10/27/2011,Alicia,Wet,Irrigated,7750.58,25278.09,7.47,3034.32,20927.51,5.91,906.57,1094.8,1.21,7118.36,31268.2,4.39
5/1/2011,10/27/2011,Alicia,Wet,Rainfed,5187.67,20423.44,5.73,5647.52,28819.58,4.62,1761.58,2321.44,1.32,7197.03,28200.51,3.92
5/1/2011,10/27/2011,SanMateo,Dry,Irrigated,6970.51,39411.19,3.51,3290.49,24206.94,4.57,479.41,806.51,1.68,6107.22,16993.97,2.78
5/1/2011,10/27/2011,SanMateo,Dry,Rainfed,3729.79,30093.08,3.36,5219.35,30569.57,5.82,1942.4,3801.35,1.96,5049.09,18676.99,3.7
5/1/2011,10/27/2011,SanMateo,Wet,Irrigated,4221.55,35105.51,6.86,5754.09,39147.83,4.05,667.93,749.97,1.12,4984.82,48031.41,9.64
5/1/2011,10/27/2011,SanMateo,Wet,Rainfed,6502.62,50491.58,5.53,4699.79,38585.78,4.31,1110.23,3171.64,2.86,4665.96,21676.25,4.65
4/28/2012,10/27/2012,SanMateo,Wet,Irrigated,1137.55,7464.48,6.56,2459.21,13421.39,5.46,1295.41,2636.73,2.35,3596.77,63500,17.65
4/28/2012,10/27/2012,SanMateo,Dry,Irrigated,4124.5,24007.62,5.82,4124.5,18863.13,4.57,1295.41,2636.73,2.35,8249,42870.76,5.2
4/28/2012,10/27/2012,SanMateo,Wet,Irrigated,4124.5,26301.77,6.38,4124.5,20665.67,5.01,1295.41,2636.73,2.35,8249,46967.44,5.69
5/1/2012,10/27/2012,Alicia,Dry,Irrigated,3104.68,40303.36,5.13,4629.42,17371.99,4.76,1694.18,2666.85,1.57,6790.39,28020.45,4.13
5/1/2012,10/27/2012,Alicia,Dry,Rainfed,6826.42,56776.24,3.26,5793.02,32033.64,3.57,2363.18,5811.66,2.46,3552.22,23874.69,6.72
5/1/2012,10/27/2012,Alicia,Wet,Irrigated,7858.62,49571.06,7.37,4223.28,30336.33,4.69,726.31,1982.06,2.73,6259.52,23524.63,3.76
5/1/2012,10/27/2012,Alicia,Wet,Rainfed,5127.09,41367.29,4.18,5676.57,15159.9,3.95,2448.03,5878.54,2.4,5342.53,29868.92,5.59
5/1/2012,10/27/2012,SanMateo,Dry,Irrigated,4381.44,22341.97,7.5,5410.03,34663.37,4.33,987.84,1603.19,1.62,7986.03,35772.65,4.48
5/1/2012,10/27/2012,SanMateo,Dry,Rainfed,4859.58,54557.09,6.05,5017.98,15885.88,5.53,2345.68,2823.25,1.2,6707.81,8649.36,1.29
5/1/2012,10/27/2012,SanMateo,Wet,Irrigated,6081.13,31981.48,7.57,3616.99,32630.37,3.02,1079,2354.35,2.18,6132.63,57295.12,9.34
5/1/2012,10/27/2012,SanMateo,Wet,Rainfed,7947.88,45012.66,5.77,3090.19,31538.71,4.71,555.24,562.9,1.01,7625.21,17139.31,2.25
4/28/2013,10/27/2013,SanMateo,Dry,Irrigated,4619.44,25868.86,5.6,3629.56,20325.54,5.6,1295.41,2636.73,2.35,8249,46194.4,5.6
4/28/2013,10/27/2013,SanMateo,Wet,Irrigated,4701.93,30844.66,6.56,3547.07,23268.78,6.56,1295.41,2636.73,2.35,8249,54113.44,6.56
5/1/2013,10/27/2013,Alicia,Dry,Irrigated,7375.22,46811.02,5.06,4663.71,24481.36,4.67,359.79,659.16,1.83,7189.04,18740.41,2.61
5/1/2013,10/27/2013,Alicia,Dry,Rainfed,3970.84,49703.83,3.15,4407.51,33197.64,4.36,2475.63,2867.96,1.16,6816.06,10796.79,1.58
5/1/2013,10/27/2013,Alicia,Wet,Irrigated,5881.46,20471.57,4.08,3173.45,36019.12,3.03,197.14,519.33,2.63,4557.79,53819.83,11.81
5/1/2013,10/27/2013,Alicia,Wet,Rainfed,5279.9,52461.06,3.31,3269.05,32847.77,3.33,2552.75,6782.41,2.66,5858.68,12600.07,2.15
5/1/2013,10/27/2013,SanMateo,Dry,Irrigated,5806.33,52852.55,6.89,4235.38,21028.5,4.02,306.02,900.1,2.94,3416.51,41266.31,12.08
5/1/2013,10/27/2013,SanMateo,Dry,Rainfed,6460.73,28103.74,5.79,4232.03,20522.71,5.22,690.61,1753.23,2.54,4120.45,8739.61,2.12
5/1/2013,10/27/2013,SanMateo,Wet,Irrigated,6240.99,59870.42,7.66,3259.57,15056.23,4.78,1467.58,1992.05,1.36,3828.69,52659.72,13.75
5/1/2013,10/27/2013,SanMateo,Wet,Rainfed,5771.94,49862.25,3.17,5114.32,15077.42,3.44,1727.89,4014.53,2.32,7790.55,21882.86,2.81
4/28/2014,10/27/2014,SanMateo,Dry,Irrigated,4619.44,29530.26,6.39,3629.56,23202.34,6.39,1295.41,2636.73,2.35,8249,52732.6,6.39
4/28/2014,10/27/2014,SanMateo,Wet,Irrigated,4701.93,32396.3,6.89,3547.07,24439.31,6.89,1295.41,2636.73,2.35,8249,56835.61,6.89
5/1/2014,10/27/2014,Alicia,Dry,Irrigated,5174.67,38901.18,3.18,4412.2,26374.01,4.41,130.2,319.76,2.46,7977.42,44963.31,5.64
5/1/2014,10/27/2014,Alicia,Dry,Rainfed,4370.46,46471.71,6.07,3988.89,24588.93,3.26,2200.52,4062.42,1.85,7626.76,22634.21,2.97
5/1/2014,10/27/2014,Alicia,Wet,Irrigated,5170.23,45621.85,3.11,5379.85,24575.69,5.31,2691.34,4443,1.65,5157.55,57467.26,11.14
5/1/2014,10/27/2014,Alicia,Wet,Rainfed,7566.36,21530.01,3.03,3737.05,38575.98,4.55,360.16,603.43,1.68,5957.99,25534.61,4.29
5/1/2014,10/27/2014,SanMateo,Dry,Irrigated,5566.11,30506.74,7.95,3515.81,38917.33,3.39,2941.79,4205.6,1.43,6103.48,25018.01,4.1
5/1/2014,10/27/2014,SanMateo,Dry,Rainfed,7812.23,36959.61,3.36,4472.27,37742.64,4,260.06,616.47,2.37,5581.95,14852.8,2.66
5/1/2014,10/27/2014,SanMateo,Wet,Irrigated,6128.01,58085.33,5.92,3409.65,32963.15,3.47,2847.77,4178.35,1.47,6577.84,56169.54,8.54
5/1/2014,10/27/2014,SanMateo,Wet,Rainfed,7044.1,33280.94,4.09,3067.4,23804.5,5.08,880.6,972.56,1.1,5558.8,17503.5,3.15
4/28/2015,10/27/2015,SanMateo,Dry,Irrigated,4619.44,31609.92,6.84,3629.56,24836.36,6.84,1295.41,2636.73,2.35,8249,56446.28,6.84
4/28/2015,10/27/2015,SanMateo,Wet,Irrigated,4701.93,34280.71,7.29,3547.07,25860.89,7.29,1295.41,2636.73,2.35,8249,60141.6,7.29
5/1/2015,10/27/2015,Alicia,Dry,Irrigated,7043.95,27853.95,5.43,3373.56,28968.4,3.51,1814.46,2874.55,1.58,7562.83,42507.06,5.62
5/1/2015,10/27/2015,Alicia,Dry,Rainfed,4386.4,29051.41,3.28,3897.3,32434.75,5.54,1653.24,3300,2,7665.87,19132.13,2.5
5/1/2015,10/27/2015,Alicia,Wet,Irrigated,4562.57,27037.84,7.87,5424.42,30796.81,3.49,1249.35,2286.09,1.83,5726.42,30455.57,5.32
5/1/2015,10/27/2015,Alicia,Wet,Rainfed,3987.42,25513.72,6.81,4654.59,18163.56,5.64,581.97,1011.36,1.74,7172.21,12703.87,1.77
5/1/2015,10/27/2015,SanMateo,Dry,Irrigated,5425,56645.22,5.31,4615.56,20044.28,3.93,235.29,553.94,2.35,6297.52,30495.87,4.84
5/1/2015,10/27/2015,SanMateo,Dry,Rainfed,7886.37,20523.03,5.65,3466.89,27317.45,3.23,2612.77,7452.66,2.85,7427.13,22070.86,2.97
5/1/2015,10/27/2015,SanMateo,Wet,Irrigated,3405.36,34650.93,4.33,3117.57,33031.41,5.62,2302.3,3765.87,1.64,6848.59,39135.92,5.71
5/1/2015,10/27/2015,SanMateo,Wet,Rainfed,5297.45,53490.29,7.33,4758.72,15033,3.74,792.59,1102.15,1.39,3956.06,28069.95,7.1
4/27/2016,10/26/2016,SanMateo,Dry,Irrigated,4619.44,32322.77,7,3629.56,25396.46,7,1295.41,2636.73,2.35,8249,57719.23,7
4/27/2016,10/26/2016,SanMateo,Wet,Irrigated,4701.93,34233.1,7.28,3547.07,25824.97,7.28,1295.41,2636.73,2.35,8249,60058.07,7.28
5/1/2016,10/27/2016,Alicia,Dry,Irrigated,5560.34,46316.44,3.2,4917.79,39812.19,4.09,2348.19,4904.99,2.09,6121.23,33291.41,5.44
5/1/2016,10/27/2016,Alicia,Dry,Rainfed,4354.26,49227.39,7.17,3297.99,29102.7,4.57,270.25,446.15,1.65,7113.01,15035.31,2.11
5/1/2016,10/27/2016,Alicia,Wet,Irrigated,7921.15,53195.91,3.64,4227.13,30453.27,4.74,1007.65,2586.8,2.57,6885.42,41892.49,6.08
5/1/2016,10/27/2016,Alicia,Wet,Rainfed,5209.88,52191.44,3.04,3641.91,37798.1,4.39,1092.37,3209.07,2.94,6545.69,26251.88,4.01
5/1/2016,10/27/2016,SanMateo,Dry,Irrigated,5616.49,27386.03,7.56,3727.06,20063.25,4.22,333.75,745.82,2.23,6212.27,30376.66,4.89
5/1/2016,10/27/2016,SanMateo,Dry,Rainfed,7262.01,26239.06,6.41,3106.33,26423.21,4.6,1686.85,4487.63,2.66,6460.15,16665.33,2.58
5/1/2016,10/27/2016,SanMateo,Wet,Irrigated,5615.05,52056.51,3.84,3348.27,23909.04,5.45,2286.2,2603.05,1.14,4682.93,48023.43,10.25
5/1/2016,10/27/2016,SanMateo,Wet,Rainfed,5824.9,42299,5.28,5682.49,36813.49,3.61,728.05,2005.67,2.75,3484.87,25957.26,7.45
4/27/2017,10/26/2017,SanMateo,Dry,Irrigated,4677.68,33726.07,7.21,3675.32,26499.06,7.21,1295.41,2636.73,2.35,8353,60225.13,7.21
4/27/2017,10/26/2017,SanMateo,Wet,Irrigated,4761.21,29757.56,6.25,3591.79,22448.69,6.25,1295.41,2636.73,2.35,8353,52206.25,6.25
5/1/2017,10/27/2017,Alicia,Dry,Irrigated,7377.33,50784.55,5.96,4673.57,16597.76,4.93,2752.97,3263.96,1.19,6499.65,43981.52,6.77
5/1/2017,10/27/2017,Alicia,Dry,Rainfed,7883.55,22746.24,6.09,3639.81,39338.85,4.05,1914.6,2981.61,1.56,4983.77,21624.49,4.34
5/1/2017,10/27/2017,Alicia,Wet,Irrigated,5449.48,43761.43,4.81,4917.34,17181.17,4.98,1191.37,1407.53,1.18,5405.77,51555.81,9.54
5/1/2017,10/27/2017,Alicia,Wet,Rainfed,6346.65,49157.12,6.42,5846.34,29245.21,5.47,722.22,1913.85,2.65,5094.3,13855.27,2.72
5/1/2017,10/27/2017,SanMateo,Dry,Irrigated,5539.66,58572.3,3.49,5748.91,23703.29,4.13,172.49,331.15,1.92,6609.6,45759.28,6.92
5/1/2017,10/27/2017,SanMateo,Dry,Rainfed,3858.1,34849.65,5.64,4590.05,16225.49,3.35,2811.48,3996.37,1.42,6257.79,21089.55,3.37
5/1/2017,10/27/2017,SanMateo,Wet,Irrigated,6738.59,34168.27,4.63,5380.69,22816.2,4.12,955.46,2148.91,2.25,5665.59,54053.91,9.54
